Name,Alcoholic,Photo,Glass,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,Ingredient 5,Ingredient 6,Ingredient 7,Ingredient 8,Ingredient 9,Ingredient 10,Ingredient 11,Ingredient 12,Ingredient 13,Ingredient 14,Ingredient 15,Method,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10,Measurement 11,Measurement 12,Measurement 13,Measurement 14,Measurement 15
Smut,Alcoholic,http://www.thecocktaildb.com/images/media/drink/rx8k8e1504365812.jpg,Beer mug,Red wine,,,,,,,Peach schnapps,Pepsi Cola,Orange juice,,,,,,Throw it all together and serve real cold.,1/3 part ,,,,,,,1 shot ,1/3 part ,1/3 part , , , , , 
Snake Bite (UK),Alcoholic,http://www.thecocktaildb.com/images/media/drink/xuwpyu1441248734.jpg,Pint glass,Lager,,,,,,,Cider,,,,,,,,Pour ingredients into a pint glass. Drink. Fall over.,1/2 pint ,,,,,,,1/2 pint sweet or dry , , , , , ,,
Snakebite and Black,Alcoholic,http://www.thecocktaildb.com/images/media/drink/rssvwv1441248863.jpg,Pint glass,Lager,,,,,,,Cider,Blackcurrant squash,,,,,,,Put blackcurrant squash in first up to about 1cm in glass. Then add the larger and cider one after another.,1/2 pint ,,,,,,,1/2 pint ,A little bit of , , , , , ,
Snowball,Alcoholic,http://www.thecocktaildb.com/images/media/drink/7ibfs61504735416.jpg,Highball glass,Advocaat,,,,,,,Lemonade,Lemon,Ice,,,,,,Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.,1 1/2 oz ,,,,,,,8-10 oz cold ,1 slice ," cubes
","
","
","
","
","
"
Sol Y Sombra,Alcoholic,http://www.thecocktaildb.com/images/media/drink/3gz2vw1503425983.jpg,Brandy snifter,Brandy,,,,,,,Anisette,,,,,,,,"Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)",1 1/2 oz ,,,,,,,1 1/2 oz , , , , , ,,
Space Odyssey,Alcoholic,http://www.thecocktaildb.com/images/media/drink/vxtjbx1504817842.jpg,Highball glass,151 proof rum,,,,,,,Malibu rum,Pineapple juice,Orange juice,Grenadine,Cherries,,,,Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.,1 shot Bacardi , ,,,,,,1 shot ,1 shot ,"
","
", , , , 
Spanish chocolate,Non alcoholic,http://www.thecocktaildb.com/images/media/drink/pra8vt1487603054.jpg,Coffee mug,Milk,,,,,,,Chocolate,Cinnamon,Egg yolk,,,,,,"Stir the milk with the chocolate and the cinnamon over low heat until the chocolate dissolves. Add the eggs and beat the mixture until it becomes thick, taking care not to boil. Serve in coffee mug.",2 cups ,,,,,,,2 oz sweet ,1/2 tsp ,2 beaten , , , , , 
Spiced Peach Punch,Non alcoholic,http://www.thecocktaildb.com/images/media/drink/qxvypq1468924331.jpg,Collins Glass,Peach nectar,,,,,,,Orange juice,Brown sugar,Cinnamon,Cloves,Lime juice,,,,"Combine peach nectar, orange juice and brown sugar in a large saucepan. Tie cinnamon and cloves in a small cheesecloth bag. Drop into saucepan. Heat slowly, stirring constantly, until sugar dissolves. Simmer 10 minutes. Stir in lime juice. Serve in hot mugs.",46 oz , , ,,,,,20 oz ,1/2 cup ,3 3-inch ,1/2 tsp ,2 tblsp , , , 
Spiking coffee,Non alcoholic,http://www.thecocktaildb.com/images/media/drink/isql6y1487602375.jpg,Coffee mug,Coffee,,,,,,,Cinnamon,,,,,,,,"Incidentally, a pinch of cinnamon is indeed a nice addition to coffee but true heaven is a cardamom seed. Of course, you serve it in a coffee mug.","
",,,,,,, , , , , ,,,
Spritz,Alcoholic,http://www.thecocktaildb.com/images/media/drink/j9evx11504373665.jpg,Old-Fashioned glass,Prosecco,,,,,,,Campari,Soda Water,,,,,,,"Build into glass over ice, garnish and serve.",6 cl,,,,,,,4 cl,splash,,, , ,,
Stinger,Alcoholic,http://www.thecocktaildb.com/images/media/drink/2ahv791504352433.jpg,Cocktail glass,Brandy,,,,,,,White Creme de Menthe,,,,,,,,"Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass.",1 1/2 oz ,,,,,,,1/2 oz , , , , , ,,
Stone Sour,Alcoholic,http://www.thecocktaildb.com/images/media/drink/vruvtp1472719895.jpg,Whiskey sour glass,Apricot brandy,,,,,,,Orange juice,Sweet and sour,,,,,,,"Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve.",1 oz ,,,,,,,1 oz ,1 oz , , , , , ,
Strawberry Daiquiri,Alcoholic,http://www.thecocktaildb.com/images/media/drink/deu59m1504736135.jpg,Cocktail glass,Strawberry schnapps,,,,,,,Light rum,Lime juice,Powdered sugar,Strawberries,,,,,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,1/2 oz , ,,,,,,1 oz ,1 oz ,1 tsp ,1 oz , , , , 
Strawberry Lemonade,Non alcoholic,http://www.thecocktaildb.com/images/media/drink/spvvxp1468924425.jpg,Collins Glass,Lemon,,,,,,,Sugar,Strawberries,Water,,,,,,Throw everything into a blender and mix until fairly smooth. Serve over ice.,Juice of 1 ,,,,,,,1 tblsp ,8-10 ripe ,1 cup , , , , , 
Strawberry Margarita,Alcoholic,http://www.thecocktaildb.com/images/media/drink/tqyrpw1439905311.jpg,Cocktail glass,Strawberry schnapps,,,,,,,Tequila,Triple sec,Lemon juice,Strawberries,Salt,,,,"Rub rim of cocktail glass with lemon juice and dip rim in salt. Shake schnapps, tequila, triple sec, lemon juice, and strawberries with ice, strain into the salt-rimmed glass, and serve.",1/2 oz ,"
","
",,,,,1 oz ,1/2 oz ,1 oz ,1 oz ,"
","
","
","
"
Strawberry Shivers,Non alcoholic,http://www.thecocktaildb.com/images/media/drink/9h1vvt1487603404.jpg,Highball glass,Strawberries,,,,,,,Honey,Water,,,,,,,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",1 1/2 cup ,,,,,,,4 tsp ,1/2 cup , , , , , ,
Sunny Holiday Punch,Optional alcohol,http://www.thecocktaildb.com/images/media/drink/rywtwy1468924758.jpg,Punch bowl,Pineapple juice,,,,,,,Club soda,Orange juice,Lemon,Berries,Champagne,,,,Combine all ingredients in a punch bowl.,46 oz chilled , , ,,,,,28 oz ,6 oz frozen ,1 ,2 cups ,1 bottle , , , 
Surf City Lifesaver,Alcoholic,http://www.thecocktaildb.com/images/media/drink/2rzfer1487602699.jpg,Highball glass,Ouzo,,,,,,,Bailey's irish cream,Gin,Grand Marnier,,,,,,Lots of ice and soda top up in tall glass with cherry and a grin.,1 part ,,,,,,,1 part ,2 parts ,1/2 part , , , , , 
Swedish Coffee,Alcoholic,http://www.thecocktaildb.com/images/media/drink/ywtrvt1441246783.jpg,Coffee Mug,Coffee,,,,,,,Aquavit,Sugar,,,,,,,Pour the coffee in an ordinary coffee cup. Add the aquavit. Add sugar by taste. Stir and have a nice evening (morning),1 cup,,,,,,,4 cl ,By taste , , , , , ,
Sweet Bananas,Non alcoholic,http://www.thecocktaildb.com/images/media/drink/sxpcj71487603345.jpg,Highball Glass,Milk,,,,,,,Banana,Honey,,,,,,,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",2 cups ,,,,,,,1 ,1 tblsp , , , , , ,
Sweet Sangria,Alcoholic,http://www.thecocktaildb.com/images/media/drink/uqqvsp1468924228.jpg,Pitcher,Red wine,,,,,,,Sugar,Water,Apple,Orange,Lime,Lemon,Fresca,,"Dissolve the sugar in hot water and cool. Peel the citrus fruits and break into wedges. Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours. Serve in tall glasses with a straw.",2 bottles ,"
","
","
",,,,1 cup ,2 cups hot ,1 cup ," wedges
"," wedges
","
","
","
"
Sweet Tooth,Alcoholic,http://www.thecocktaildb.com/images/media/drink/j6rq6h1503563821.jpg,Highball Glass,Godiva liqueur,,,,,,,Milk,,,,,,,,"Put 2 shots Godiva Liquour into a glass, add as much or as little milk as you would like.",2 shots ,,,,,,,"
","
","
","
","
","
",,
Talos Coffee,Alcoholic,http://www.thecocktaildb.com/images/media/drink/rswqpy1441246518.jpg,Brandy snifter,Grand Marnier,,,,,,,Coffee,,,,,,,,Add your GM and then add your coffee.,3 parts ,,,,,,,1 part , , , , , ,,
Tennesee Mud,Alcoholic,http://www.thecocktaildb.com/images/media/drink/txruqv1441245770.jpg,Coffee Mug,Coffee,,,,,,,Jack Daniels,Amaretto,Whipped cream,,,,,,"Mix Coffee, Jack Daniels and Amaretto. Add Cream on top.",8 oz ,,,,,,,4 oz ,4 oz ,"
","
","
","
","
","
"
Tequila Fizz,Alcoholic,http://www.thecocktaildb.com/images/media/drink/2bcase1504889637.jpg,Collins glass,Tequila,,,,,,,Lemon juice,Grenadine,Egg white,Ginger ale,,,,,"Shake all ingredients (except ginger ale) with ice and strain into a collins glass over ice cubes. Fill with ginger ale, stir, and serve.",2 oz ,"
",,,,,,1 tblsp ,3/4 oz ,1 ,"
","
","
","
","
"
Tequila Sour,Alcoholic,http://www.thecocktaildb.com/images/media/drink/ek0mlq1504820601.jpg,Whiskey sour glass,Tequila,,,,,,,Lemon,Powdered sugar,Lemon,Cherry,,,,,"Shake tequila, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Add the half-slice of lemon, top with the cherry, and serve.",2 oz , ,,,,,,Juice of 1/2 ,1 tsp ,1/2 slice ,1 , , , , 
Tequila Sunrise,Alcoholic,http://www.thecocktaildb.com/images/media/drink/quqyqp1480879103.jpg,Highball glass,Tequila,,,,,,,Orange juice,Grenadine,,,,,,,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve.",2 measures ,,,,,,,,,,,,,,
Tequila Surprise,Alcoholic,http://www.thecocktaildb.com/images/media/drink/8189p51504735581.jpg,Shot glass,Tequila,,,,,,,Tabasco sauce,,,,,,,,Fill shot glass with Tequila. Add drops of Tobasco sauce.,full glass ,,,,,,,About 8 drops , , , , , ,,
Texas Rattlesnake,Alcoholic,http://www.thecocktaildb.com/images/media/drink/rtohqp1504889750.jpg,Highball glass,Yukon Jack,,,,,,,Cherry brandy,Southern Comfort,Sweet and sour,,,,,,"Mix all ingredients and Shake well. Sweet at first, with a BITE at the end...",1 part ,,,,,,,1/2 part ,1 part ,1 splash , , , , , 
Texas Sling,Alcoholic,http://www.thecocktaildb.com/images/media/drink/ypl13s1504890158.jpg,Wine Glass,Kahlua,,,,,,,Irish cream,Amaretto,151 proof rum,Cream,,,,,"Blend with Ice until smooth. Serve in a tulip glass, top with whip cream.",1/2 oz , ,,,,,,1/2 oz ,1/2 oz ,1/2 oz Bacardi ,1 oz , , , , 
Thai Coffee,Non alcoholic,http://www.thecocktaildb.com/images/media/drink/wquwxs1441247025.jpg,Highball glass,Coffee,,,,,,,Coriander,Cardamom,Sugar,Whipping cream,Ice,,,,"Place the coffee and spices in the filter cone of your coffee maker. Brew coffee as usual, let it cool. In a tall glass, dissolve 1 or 2 teaspoons of sugar in an ounce of the coffee (it's easier to dissolve than if you put it right over ice). Add 5-6 ice cubes and pour coffee to within about 1 inch of the top of the glass. Rest a spoon on top of the coffee and slowly pour whipping cream into the spoon. This will make the cream float on top of the coffee rather than dispersing into it right away.",6 tblsp ground,,,,,,,1/4 tsp ,4-5 whole green ,,,,,,
Thai Iced Coffee,Non alcoholic,http://www.thecocktaildb.com/images/media/drink/rqpypv1441245650.jpg,Highball glass,Coffee,,,,,,,Sugar,Cream,Cardamom,,,,,,"Prepare a pot of coffee at a good European strength. In the ground coffee, add 2 or 3 freshly ground cardamom pods. Sweeten while hot, then cool quickly. Serve in highball glass over ice, with cream. To get the layered effect, place a spoon atop the coffee and pour the milk carefully into the spoon so that it floats on the top of the coffee.",black,,,,,,,"
"," pods
","
","
","
","
","
",
Thai Iced Tea,Non alcoholic,http://www.thecocktaildb.com/images/media/drink/trvwpu1441245568.jpg,Highball glass,Tea,,,,,,,Water,Condensed milk,Ice,Mint,,,,,"Combine Thai tea (i.e., the powder), boiling water, and sweetened condensed milk, stir until blended. Pour into 2 tall glasses filled with ice cubes. Garnish with mint leaves. Makes 2 servings.",1/4 cup Thai ,,,,,,,1/2 cup boiling ,2 tsp sweetened ," cubes
", , , , , 
The Evil Blue Thing,Alcoholic,http://www.thecocktaildb.com/images/media/drink/ojnpz71504793059.jpg,Old-fashioned glass,Creme de Cacao,,,,,,,Blue Curacao,Light rum,,,,,,,"Pour ingredients into glass, and drop in a blue whale! The blue whale isn't really necessary, but it makes the drink more ""fun"".",1 1/2 oz ,,,,,,,1 oz ,1/2 oz , , , , , ,
Thriller,Alcoholic,http://www.thecocktaildb.com/images/media/drink/rvuswq1461867714.jpg,Cocktail glass,Scotch,,,,,,,Wine,Orange juice,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",1 1/2 oz ,,,,,,,1 oz Green Ginger ,1 oz , , , , , ,
Tia-Maria,Alcoholic,http://www.thecocktaildb.com/images/media/drink/sih81u1504367097.jpg,Collins Glass,Water,,,,,,,Brown sugar,Coffee,Rum,Vanilla extract,,,,,"Boil water, sugar and coffe for 10 mins and let cool. Add rum and vanilla. Put in clean bottle(s) and leave for 1 week before using.",1 cup , ,,,,,,3/4-1 cup ,4 tsp ,1 cup ,4 tsp , , , , 
Tom Collins,Alcoholic,http://www.thecocktaildb.com/images/media/drink/qystvv1439907682.jpg,Collins glass,Gin,,,,,,,Lemon juice,Sugar,Club soda,Maraschino cherry,Orange,,,,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice.",2 oz , , ,,,,,1 oz ,1 tsp superfine ,3 oz ,1 ,1 , , , 
